Days since 1/3/23,Company,Value
0.0,1.0,26.969627
0.0,2.0,118.747231
0.0,3.0,63.959999
0.0,4.0,67.239998
1.0,1.0,26.969627
1.0,2.0,118.747231
1.0,3.0,63.959999
1.0,4.0,67.239998
2.0,1.0,26.969627
2.0,2.0,118.747231
2.0,3.0,63.959999
2.0,4.0,67.239998
3.0,1.0,26.969627
3.0,2.0,118.747231
3.0,3.0,63.959999
3.0,4.0,67.239998
4.0,1.0,26.969627
4.0,2.0,118.747231
4.0,3.0,63.959999
4.0,4.0,67.239998
5.0,1.0,26.969627
5.0,2.0,118.747231
5.0,3.0,63.959999
5.0,4.0,67.239998
6.0,1.0,26.969627
6.0,2.0,118.747231
6.0,3.0,63.959999
6.0,4.0,67.239998
7.0,1.0,26.969627
7.0,2.0,118.747231
7.0,3.0,63.959999
7.0,4.0,67.239998
8.0,1.0,26.969627
8.0,2.0,118.747231
8.0,3.0,63.959999
8.0,4.0,67.239998
9.0,1.0,26.969627
9.0,2.0,118.747231
9.0,3.0,63.959999
9.0,4.0,67.239998
10.0,1.0,26.969627
10.0,2.0,118.747231
10.0,3.0,63.959999
10.0,4.0,67.239998
11.0,1.0,26.969627
11.0,2.0,118.747231
11.0,3.0,63.959999
11.0,4.0,67.239998
12.0,1.0,26.969627
12.0,2.0,118.747231
12.0,3.0,63.959999
12.0,4.0,67.239998
13.0,1.0,26.969627
13.0,2.0,118.747231
13.0,3.0,63.959999
13.0,4.0,67.239998
14.0,1.0,26.969627
14.0,2.0,118.747231
14.0,3.0,63.959999
14.0,4.0,67.239998
15.0,1.0,26.969627
15.0,2.0,118.747231
15.0,3.0,63.959999
15.0,4.0,67.239998
16.0,1.0,26.969627
16.0,2.0,118.747231
16.0,3.0,63.959999
16.0,4.0,67.239998
17.0,1.0,26.969627
17.0,2.0,118.747231
17.0,3.0,63.959999
17.0,4.0,67.239998
18.0,1.0,26.969627
18.0,2.0,118.747231
18.0,3.0,63.959999
18.0,4.0,67.239998
19.0,1.0,26.969627
19.0,2.0,118.747231
19.0,3.0,63.959999
19.0,4.0,67.239998
20.0,1.0,26.969627
20.0,2.0,118.747231
20.0,3.0,63.959999
20.0,4.0,67.239998
21.0,1.0,26.969627
21.0,2.0,118.747231
21.0,3.0,63.959999
21.0,4.0,67.239998
22.0,1.0,26.969627
22.0,2.0,118.747231
22.0,3.0,63.959999
22.0,4.0,67.239998
23.0,1.0,26.969627
23.0,2.0,118.747231
23.0,3.0,63.959999
23.0,4.0,67.239998
24.0,1.0,26.969627
24.0,2.0,118.747231
24.0,3.0,63.959999
24.0,4.0,67.239998
25.0,1.0,26.969627
25.0,2.0,118.747231
25.0,3.0,63.959999
25.0,4.0,67.239998
26.0,1.0,26.969627
26.0,2.0,118.747231
26.0,3.0,63.959999
26.0,4.0,67.239998
27.0,1.0,26.969627
27.0,2.0,118.747231
27.0,3.0,63.959999
27.0,4.0,67.239998
28.0,1.0,26.969627
28.0,2.0,118.747231
28.0,3.0,63.959999
28.0,4.0,67.239998
29.0,1.0,26.969627
29.0,2.0,118.747231
29.0,3.0,63.959999
29.0,4.0,67.239998
30.0,1.0,26.969627
30.0,2.0,118.747231
30.0,3.0,63.959999
30.0,4.0,67.239998
31.0,1.0,26.969627
31.0,2.0,118.747231
31.0,3.0,63.959999
31.0,4.0,67.239998
32.0,1.0,26.969627
32.0,2.0,118.747231
32.0,3.0,63.959999
32.0,4.0,67.239998
33.0,1.0,26.969627
33.0,2.0,118.747231
33.0,3.0,63.959999
33.0,4.0,67.239998
34.0,1.0,26.969627
34.0,2.0,118.747231
34.0,3.0,63.959999
34.0,4.0,67.239998
35.0,1.0,26.969627
35.0,2.0,118.747231
35.0,3.0,63.959999
35.0,4.0,67.239998
36.0,1.0,26.969627
36.0,2.0,118.747231
36.0,3.0,63.959999
36.0,4.0,67.239998
37.0,1.0,26.969627
37.0,2.0,118.747231
37.0,3.0,63.959999
37.0,4.0,67.239998
38.0,1.0,26.969627
38.0,2.0,118.747231
38.0,3.0,63.959999
38.0,4.0,67.239998
39.0,1.0,26.969627
39.0,2.0,118.747231
39.0,3.0,63.959999
39.0,4.0,67.239998
40.0,1.0,26.969627
40.0,2.0,118.747231
40.0,3.0,63.959999
40.0,4.0,67.239998
41.0,1.0,26.969627
41.0,2.0,118.747231
41.0,3.0,63.959999
41.0,4.0,67.239998
42.0,1.0,26.969627
42.0,2.0,118.747231
42.0,3.0,63.959999
42.0,4.0,67.239998
43.0,1.0,26.969627
43.0,2.0,118.747231
43.0,3.0,63.959999
43.0,4.0,67.239998
44.0,1.0,26.969627
44.0,2.0,118.747231
44.0,3.0,63.959999
44.0,4.0,67.239998
45.0,1.0,26.969627
45.0,2.0,118.747231
45.0,3.0,63.959999
45.0,4.0,67.239998
46.0,1.0,26.969627
46.0,2.0,118.747231
46.0,3.0,63.959999
46.0,4.0,67.239998
47.0,1.0,26.969627
47.0,2.0,118.747231
47.0,3.0,63.959999
47.0,4.0,67.239998
48.0,1.0,26.969627
48.0,2.0,118.747231
48.0,3.0,63.959999
48.0,4.0,67.239998
49.0,1.0,26.969627
49.0,2.0,118.747231
49.0,3.0,63.959999
49.0,4.0,67.239998
50.0,1.0,26.969627
50.0,2.0,118.747231
50.0,3.0,63.959999
50.0,4.0,67.239998
51.0,1.0,26.969627
51.0,2.0,118.747231
51.0,3.0,63.959999
51.0,4.0,67.239998
52.0,1.0,26.969627
52.0,2.0,118.747231
52.0,3.0,63.959999
52.0,4.0,67.239998
53.0,1.0,26.969627
53.0,2.0,118.747231
53.0,3.0,63.959999
53.0,4.0,67.239998
54.0,1.0,26.969627
54.0,2.0,118.747231
54.0,3.0,63.959999
54.0,4.0,67.239998
55.0,1.0,26.969627
55.0,2.0,118.747231
55.0,3.0,63.959999
55.0,4.0,67.239998
56.0,1.0,26.969627
56.0,2.0,118.747231
56.0,3.0,63.959999
56.0,4.0,67.239998
57.0,1.0,26.969627
57.0,2.0,118.747231
57.0,3.0,63.959999
57.0,4.0,67.239998
58.0,1.0,26.969627
58.0,2.0,118.747231
58.0,3.0,63.959999
58.0,4.0,67.239998
59.0,1.0,26.969627
59.0,2.0,118.747231
59.0,3.0,63.959999
59.0,4.0,67.239998
60.0,1.0,26.969627
60.0,2.0,118.747231
60.0,3.0,63.959999
60.0,4.0,67.239998
61.0,1.0,26.969627
61.0,2.0,118.747231
61.0,3.0,63.959999
61.0,4.0,67.239998
62.0,1.0,26.969627
62.0,2.0,118.747231
62.0,3.0,63.959999
62.0,4.0,67.239998
63.0,1.0,26.969627
63.0,2.0,118.747231
63.0,3.0,63.959999
63.0,4.0,67.239998
64.0,1.0,26.969627
64.0,2.0,118.747231
64.0,3.0,63.959999
64.0,4.0,67.239998
65.0,1.0,26.969627
65.0,2.0,118.747231
65.0,3.0,63.959999
65.0,4.0,67.239998
66.0,1.0,26.969627
66.0,2.0,118.747231
66.0,3.0,63.959999
66.0,4.0,67.239998
67.0,1.0,26.969627
67.0,2.0,118.747231
67.0,3.0,63.959999
67.0,4.0,67.239998
68.0,1.0,26.969627
68.0,2.0,118.747231
68.0,3.0,63.959999
68.0,4.0,67.239998
69.0,1.0,26.969627
69.0,2.0,118.747231
69.0,3.0,63.959999
69.0,4.0,67.239998
70.0,1.0,26.969627
70.0,2.0,118.747231
70.0,3.0,63.959999
70.0,4.0,67.239998
71.0,1.0,26.969627
71.0,2.0,118.747231
71.0,3.0,63.959999
71.0,4.0,67.239998
72.0,1.0,26.969627
72.0,2.0,118.747231
72.0,3.0,63.959999
72.0,4.0,67.239998
73.0,1.0,26.969627
73.0,2.0,118.747231
73.0,3.0,63.959999
73.0,4.0,67.239998
74.0,1.0,26.969627
74.0,2.0,118.747231
74.0,3.0,63.959999
74.0,4.0,67.239998
75.0,1.0,26.969627
75.0,2.0,118.747231
75.0,3.0,63.959999
75.0,4.0,67.239998
76.0,1.0,26.969627
76.0,2.0,118.747231
76.0,3.0,63.959999
76.0,4.0,67.239998
77.0,1.0,26.969627
77.0,2.0,118.747231
77.0,3.0,63.959999
77.0,4.0,67.239998
78.0,1.0,26.969627
78.0,2.0,118.747231
78.0,3.0,63.959999
78.0,4.0,67.239998
79.0,1.0,26.969627
79.0,2.0,118.747231
79.0,3.0,63.959999
79.0,4.0,67.239998
80.0,1.0,26.969627
80.0,2.0,118.747231
80.0,3.0,63.959999
80.0,4.0,67.239998
81.0,1.0,26.969627
81.0,2.0,118.747231
