Days since 1/3/23,Company,Value
0.0,1.0,27.68
0.0,2.0,123.5
0.0,3.0,63.959999
0.0,4.0,67.239998
1.0,1.0,27.68
1.0,2.0,123.5
1.0,3.0,63.959999
1.0,4.0,67.239998
2.0,1.0,27.68
2.0,2.0,123.5
2.0,3.0,63.959999
2.0,4.0,67.239998
3.0,1.0,27.68
3.0,2.0,123.5
3.0,3.0,63.959999
3.0,4.0,67.239998
4.0,1.0,27.68
4.0,2.0,123.5
4.0,3.0,63.959999
4.0,4.0,67.239998
5.0,1.0,27.68
5.0,2.0,123.5
5.0,3.0,63.959999
5.0,4.0,67.239998
6.0,1.0,27.68
6.0,2.0,123.5
6.0,3.0,63.959999
6.0,4.0,67.239998
7.0,1.0,27.68
7.0,2.0,123.5
7.0,3.0,63.959999
7.0,4.0,67.239998
8.0,1.0,27.68
8.0,2.0,123.5
8.0,3.0,63.959999
8.0,4.0,67.239998
9.0,1.0,27.68
9.0,2.0,123.5
9.0,3.0,63.959999
9.0,4.0,67.239998
10.0,1.0,27.68
10.0,2.0,123.5
10.0,3.0,63.959999
10.0,4.0,67.239998
11.0,1.0,27.68
11.0,2.0,123.5
11.0,3.0,63.959999
11.0,4.0,67.239998
12.0,1.0,27.68
12.0,2.0,123.5
12.0,3.0,63.959999
12.0,4.0,67.239998
13.0,1.0,27.68
13.0,2.0,123.5
13.0,3.0,63.959999
13.0,4.0,67.239998
14.0,1.0,27.68
14.0,2.0,123.5
14.0,3.0,63.959999
14.0,4.0,67.239998
15.0,1.0,27.68
15.0,2.0,123.5
15.0,3.0,63.959999
15.0,4.0,67.239998
16.0,1.0,27.68
16.0,2.0,123.5
16.0,3.0,63.959999
16.0,4.0,67.239998
17.0,1.0,27.68
17.0,2.0,123.5
17.0,3.0,63.959999
17.0,4.0,67.239998
18.0,1.0,27.68
18.0,2.0,123.5
18.0,3.0,63.959999
18.0,4.0,67.239998
19.0,1.0,27.68
19.0,2.0,123.5
19.0,3.0,63.959999
19.0,4.0,67.239998
20.0,1.0,27.68
20.0,2.0,123.5
20.0,3.0,63.959999
20.0,4.0,67.239998
21.0,1.0,27.68
21.0,2.0,123.5
21.0,3.0,63.959999
21.0,4.0,67.239998
22.0,1.0,27.68
22.0,2.0,123.5
22.0,3.0,63.959999
22.0,4.0,67.239998
23.0,1.0,27.68
23.0,2.0,123.5
23.0,3.0,63.959999
23.0,4.0,67.239998
24.0,1.0,27.68
24.0,2.0,123.5
24.0,3.0,63.959999
24.0,4.0,67.239998
25.0,1.0,27.68
25.0,2.0,123.5
25.0,3.0,63.959999
25.0,4.0,67.239998
26.0,1.0,27.68
26.0,2.0,123.5
26.0,3.0,63.959999
26.0,4.0,67.239998
27.0,1.0,27.68
27.0,2.0,123.5
27.0,3.0,63.959999
27.0,4.0,67.239998
28.0,1.0,27.68
28.0,2.0,123.5
28.0,3.0,63.959999
28.0,4.0,67.239998
29.0,1.0,27.68
29.0,2.0,123.5
29.0,3.0,63.959999
29.0,4.0,67.239998
30.0,1.0,27.68
30.0,2.0,123.5
30.0,3.0,63.959999
30.0,4.0,67.239998
31.0,1.0,27.68
31.0,2.0,123.5
31.0,3.0,63.959999
31.0,4.0,67.239998
32.0,1.0,27.68
32.0,2.0,123.5
32.0,3.0,63.959999
32.0,4.0,67.239998
33.0,1.0,27.68
33.0,2.0,123.5
33.0,3.0,63.959999
33.0,4.0,67.239998
34.0,1.0,27.68
34.0,2.0,123.5
34.0,3.0,63.959999
34.0,4.0,67.239998
35.0,1.0,27.68
35.0,2.0,123.5
35.0,3.0,63.959999
35.0,4.0,67.239998
36.0,1.0,27.68
36.0,2.0,123.5
36.0,3.0,63.959999
36.0,4.0,67.239998
37.0,1.0,27.68
37.0,2.0,123.5
37.0,3.0,63.959999
37.0,4.0,67.239998
38.0,1.0,27.68
38.0,2.0,123.5
38.0,3.0,63.959999
38.0,4.0,67.239998
39.0,1.0,27.68
39.0,2.0,123.5
39.0,3.0,63.959999
39.0,4.0,67.239998
40.0,1.0,27.68
40.0,2.0,123.5
40.0,3.0,63.959999
40.0,4.0,67.239998
41.0,1.0,27.68
41.0,2.0,123.5
41.0,3.0,63.959999
41.0,4.0,67.239998
42.0,1.0,27.68
42.0,2.0,123.5
42.0,3.0,63.959999
42.0,4.0,67.239998
43.0,1.0,27.68
43.0,2.0,123.5
43.0,3.0,63.959999
43.0,4.0,67.239998
44.0,1.0,27.68
44.0,2.0,123.5
44.0,3.0,63.959999
44.0,4.0,67.239998
45.0,1.0,27.68
45.0,2.0,123.5
45.0,3.0,63.959999
45.0,4.0,67.239998
46.0,1.0,27.68
46.0,2.0,123.5
46.0,3.0,63.959999
46.0,4.0,67.239998
47.0,1.0,27.68
