Days since 1/3/23,Company,Value
0.0,1.0,27.92
0.0,2.0,124.0
0.0,3.0,64.300003
0.0,4.0,275.5
1.0,1.0,27.92
1.0,2.0,124.0
1.0,3.0,64.300003
1.0,4.0,275.5
2.0,1.0,27.92
2.0,2.0,124.0
2.0,3.0,64.300003
2.0,4.0,275.5
3.0,1.0,27.92
3.0,2.0,124.0
3.0,3.0,64.300003
3.0,4.0,275.5
4.0,1.0,27.92
4.0,2.0,124.0
4.0,3.0,64.300003
4.0,4.0,275.5
5.0,1.0,27.92
5.0,2.0,124.0
5.0,3.0,64.300003
5.0,4.0,275.5
6.0,1.0,27.92
6.0,2.0,124.0
6.0,3.0,64.300003
6.0,4.0,275.5
7.0,1.0,27.92
7.0,2.0,124.0
7.0,3.0,64.300003
7.0,4.0,275.5
8.0,1.0,27.92
8.0,2.0,124.0
8.0,3.0,64.300003
8.0,4.0,275.5
9.0,1.0,27.92
9.0,2.0,124.0
9.0,3.0,64.300003
9.0,4.0,275.5
10.0,1.0,27.92
10.0,2.0,124.0
10.0,3.0,64.300003
10.0,4.0,275.5
11.0,1.0,27.92
11.0,2.0,124.0
11.0,3.0,64.300003
11.0,4.0,275.5
12.0,1.0,27.92
12.0,2.0,124.0
12.0,3.0,64.300003
12.0,4.0,275.5
13.0,1.0,27.92
13.0,2.0,124.0
13.0,3.0,64.300003
13.0,4.0,275.5
14.0,1.0,27.92
14.0,2.0,124.0
14.0,3.0,64.300003
14.0,4.0,275.5
15.0,1.0,27.92
15.0,2.0,124.0
15.0,3.0,64.300003
15.0,4.0,275.5
16.0,1.0,27.92
16.0,2.0,124.0
16.0,3.0,64.300003
16.0,4.0,275.5
17.0,1.0,27.92
17.0,2.0,124.0
17.0,3.0,64.300003
17.0,4.0,275.5
18.0,1.0,27.92
18.0,2.0,124.0
18.0,3.0,64.300003
18.0,4.0,275.5
19.0,1.0,27.92
19.0,2.0,124.0
19.0,3.0,64.300003
19.0,4.0,275.5
20.0,1.0,27.92
20.0,2.0,124.0
20.0,3.0,64.300003
20.0,4.0,275.5
21.0,1.0,27.92
21.0,2.0,124.0
21.0,3.0,64.300003
21.0,4.0,275.5
22.0,1.0,27.92
22.0,2.0,124.0
22.0,3.0,64.300003
22.0,4.0,275.5
23.0,1.0,27.92
23.0,2.0,124.0
23.0,3.0,64.300003
23.0,4.0,275.5
24.0,1.0,27.92
24.0,2.0,124.0
24.0,3.0,64.300003
24.0,4.0,275.5
25.0,1.0,27.92
25.0,2.0,124.0
25.0,3.0,64.300003
25.0,4.0,275.5
26.0,1.0,27.92
26.0,2.0,124.0
26.0,3.0,64.300003
26.0,4.0,275.5
27.0,1.0,27.92
27.0,2.0,124.0
27.0,3.0,64.300003
27.0,4.0,275.5
28.0,1.0,27.92
28.0,2.0,124.0
28.0,3.0,64.300003
28.0,4.0,275.5
29.0,1.0,27.92
29.0,2.0,124.0
29.0,3.0,64.300003
29.0,4.0,275.5
30.0,1.0,27.92
30.0,2.0,124.0
30.0,3.0,64.300003
30.0,4.0,275.5
31.0,1.0,27.92
31.0,2.0,124.0
