Days since 1/3/23,Company,Value
0.0,1.0,27.16
0.0,2.0,122.5
0.0,3.0,60.049999
0.0,4.0,65.669998
1.0,1.0,27.16
1.0,2.0,122.5
1.0,3.0,60.049999
1.0,4.0,65.669998
2.0,1.0,27.16
2.0,2.0,122.5
2.0,3.0,60.049999
2.0,4.0,65.669998
3.0,1.0,27.16
3.0,2.0,122.5
3.0,3.0,60.049999
3.0,4.0,65.669998
4.0,1.0,27.16
4.0,2.0,122.5
4.0,3.0,60.049999
4.0,4.0,65.669998
5.0,1.0,27.16
5.0,2.0,122.5
5.0,3.0,60.049999
5.0,4.0,65.669998
6.0,1.0,27.16
6.0,2.0,122.5
6.0,3.0,60.049999
6.0,4.0,65.669998
7.0,1.0,27.16
7.0,2.0,122.5
7.0,3.0,60.049999
7.0,4.0,65.669998
8.0,1.0,27.16
8.0,2.0,122.5
8.0,3.0,60.049999
8.0,4.0,65.669998
9.0,1.0,27.16
9.0,2.0,122.5
9.0,3.0,60.049999
9.0,4.0,65.669998
10.0,1.0,27.16
10.0,2.0,122.5
10.0,3.0,60.049999
10.0,4.0,65.669998
11.0,1.0,27.16
11.0,2.0,122.5
11.0,3.0,60.049999
11.0,4.0,65.669998
12.0,1.0,27.16
12.0,2.0,122.5
12.0,3.0,60.049999
12.0,4.0,65.669998
13.0,1.0,27.16
13.0,2.0,122.5
13.0,3.0,60.049999
13.0,4.0,65.669998
14.0,1.0,27.16
14.0,2.0,122.5
14.0,3.0,60.049999
14.0,4.0,65.669998
15.0,1.0,27.16
15.0,2.0,122.5
15.0,3.0,60.049999
15.0,4.0,65.669998
16.0,1.0,27.16
16.0,2.0,122.5
16.0,3.0,60.049999
16.0,4.0,65.669998
17.0,1.0,27.16
17.0,2.0,122.5
17.0,3.0,60.049999
17.0,4.0,65.669998
18.0,1.0,27.16
18.0,2.0,122.5
18.0,3.0,60.049999
18.0,4.0,65.669998
19.0,1.0,27.16
19.0,2.0,122.5
19.0,3.0,60.049999
19.0,4.0,65.669998
20.0,1.0,27.16
20.0,2.0,122.5
20.0,3.0,60.049999
20.0,4.0,65.669998
21.0,1.0,27.16
21.0,2.0,122.5
21.0,3.0,60.049999
21.0,4.0,65.669998
22.0,1.0,27.16
22.0,2.0,122.5
22.0,3.0,60.049999
22.0,4.0,65.669998
23.0,1.0,27.16
23.0,2.0,122.5
23.0,3.0,60.049999
23.0,4.0,65.669998
24.0,1.0,27.16
24.0,2.0,122.5
24.0,3.0,60.049999
24.0,4.0,65.669998
25.0,1.0,27.16
25.0,2.0,122.5
25.0,3.0,60.049999
25.0,4.0,65.669998
26.0,1.0,27.16
26.0,2.0,122.5
26.0,3.0,60.049999
26.0,4.0,65.669998
27.0,1.0,27.16
27.0,2.0,122.5
27.0,3.0,60.049999
27.0,4.0,65.669998
28.0,1.0,27.16
28.0,2.0,122.5
28.0,3.0,60.049999
28.0,4.0,65.669998
29.0,1.0,27.16
29.0,2.0,122.5
29.0,3.0,60.049999
29.0,4.0,65.669998
30.0,1.0,27.16
30.0,2.0,122.5
30.0,3.0,60.049999
30.0,4.0,65.669998
31.0,1.0,27.16
31.0,2.0,122.5
31.0,3.0,60.049999
