Days since 1/3/23,Company,Value
0.0,1.0,27.41
0.0,2.0,123.0
0.0,3.0,63.150002
0.0,4.0,66.220001
1.0,1.0,27.41
1.0,2.0,123.0
1.0,3.0,63.150002
1.0,4.0,66.220001
2.0,1.0,27.41
2.0,2.0,123.0
2.0,3.0,63.150002
2.0,4.0,66.220001
3.0,1.0,27.41
3.0,2.0,123.0
3.0,3.0,63.150002
3.0,4.0,66.220001
4.0,1.0,27.41
4.0,2.0,123.0
4.0,3.0,63.150002
4.0,4.0,66.220001
5.0,1.0,27.41
5.0,2.0,123.0
5.0,3.0,63.150002
5.0,4.0,66.220001
6.0,1.0,27.41
6.0,2.0,123.0
6.0,3.0,63.150002
6.0,4.0,66.220001
7.0,1.0,27.41
7.0,2.0,123.0
7.0,3.0,63.150002
7.0,4.0,66.220001
8.0,1.0,27.41
8.0,2.0,123.0
8.0,3.0,63.150002
8.0,4.0,66.220001
9.0,1.0,27.41
9.0,2.0,123.0
9.0,3.0,63.150002
9.0,4.0,66.220001
10.0,1.0,27.41
10.0,2.0,123.0
10.0,3.0,63.150002
10.0,4.0,66.220001
11.0,1.0,27.41
11.0,2.0,123.0
11.0,3.0,63.150002
11.0,4.0,66.220001
12.0,1.0,27.41
12.0,2.0,123.0
12.0,3.0,63.150002
12.0,4.0,66.220001
13.0,1.0,27.41
13.0,2.0,123.0
13.0,3.0,63.150002
13.0,4.0,66.220001
14.0,1.0,27.41
14.0,2.0,123.0
14.0,3.0,63.150002
14.0,4.0,66.220001
15.0,1.0,27.41
15.0,2.0,123.0
15.0,3.0,63.150002
15.0,4.0,66.220001
16.0,1.0,27.41
16.0,2.0,123.0
16.0,3.0,63.150002
16.0,4.0,66.220001
17.0,1.0,27.41
17.0,2.0,123.0
17.0,3.0,63.150002
17.0,4.0,66.220001
18.0,1.0,27.41
18.0,2.0,123.0
18.0,3.0,63.150002
18.0,4.0,66.220001
19.0,1.0,27.41
19.0,2.0,123.0
19.0,3.0,63.150002
19.0,4.0,66.220001
20.0,1.0,27.41
20.0,2.0,123.0
20.0,3.0,63.150002
20.0,4.0,66.220001
21.0,1.0,27.41
21.0,2.0,123.0
21.0,3.0,63.150002
21.0,4.0,66.220001
22.0,1.0,27.41
22.0,2.0,123.0
22.0,3.0,63.150002
22.0,4.0,66.220001
23.0,1.0,27.41
23.0,2.0,123.0
23.0,3.0,63.150002
23.0,4.0,66.220001
24.0,1.0,27.41
24.0,2.0,123.0
24.0,3.0,63.150002
24.0,4.0,66.220001
25.0,1.0,27.41
25.0,2.0,123.0
25.0,3.0,63.150002
25.0,4.0,66.220001
26.0,1.0,27.41
26.0,2.0,123.0
26.0,3.0,63.150002
26.0,4.0,66.220001
27.0,1.0,27.41
27.0,2.0,123.0
27.0,3.0,63.150002
27.0,4.0,66.220001
28.0,1.0,27.41
28.0,2.0,123.0
28.0,3.0,63.150002
28.0,4.0,66.220001
29.0,1.0,27.41
29.0,2.0,123.0
29.0,3.0,63.150002
29.0,4.0,66.220001
30.0,1.0,27.41
30.0,2.0,123.0
30.0,3.0,63.150002
30.0,4.0,66.220001
31.0,1.0,27.41
31.0,2.0,123.0
31.0,3.0,63.150002
31.0,4.0,66.220001
32.0,1.0,27.41
32.0,2.0,123.0
32.0,3.0,63.150002
32.0,4.0,66.220001
33.0,1.0,27.41
33.0,2.0,123.0
33.0,3.0,63.150002
33.0,4.0,66.220001
34.0,1.0,27.41
34.0,2.0,123.0
34.0,3.0,63.150002
34.0,4.0,66.220001
35.0,1.0,27.41
35.0,2.0,123.0
35.0,3.0,63.150002
35.0,4.0,66.220001
36.0,1.0,27.41
36.0,2.0,123.0
36.0,3.0,63.150002
36.0,4.0,66.220001
37.0,1.0,27.41
37.0,2.0,123.0
37.0,3.0,63.150002
37.0,4.0,66.220001
38.0,1.0,27.41
38.0,2.0,123.0
38.0,3.0,63.150002
38.0,4.0,66.220001
39.0,1.0,27.41
39.0,2.0,123.0
39.0,3.0,63.150002
39.0,4.0,66.220001
40.0,1.0,27.41
40.0,2.0,123.0
40.0,3.0,63.150002
40.0,4.0,66.220001
41.0,1.0,27.41
41.0,2.0,123.0
41.0,3.0,63.150002
41.0,4.0,66.220001
42.0,1.0,27.41
42.0,2.0,123.0
42.0,3.0,63.150002
42.0,4.0,66.220001
43.0,1.0,27.41
43.0,2.0,123.0
43.0,3.0,63.150002
43.0,4.0,66.220001
44.0,1.0,27.41
44.0,2.0,123.0
44.0,3.0,63.150002
44.0,4.0,66.220001
45.0,1.0,27.41
45.0,2.0,123.0
45.0,3.0,63.150002
45.0,4.0,66.220001
46.0,1.0,27.41
46.0,2.0,123.0
46.0,3.0,63.150002
46.0,4.0,66.220001
47.0,1.0,27.41
47.0,2.0,123.0
47.0,3.0,63.150002
47.0,4.0,66.220001
48.0,1.0,27.41
48.0,2.0,123.0
48.0,3.0,63.150002
48.0,4.0,66.220001
49.0,1.0,27.41
49.0,2.0,123.0
49.0,3.0,63.150002
49.0,4.0,66.220001
50.0,1.0,27.41
50.0,2.0,123.0
50.0,3.0,63.150002
50.0,4.0,66.220001
51.0,1.0,27.41
51.0,2.0,123.0
51.0,3.0,63.150002
51.0,4.0,66.220001
52.0,1.0,27.41
52.0,2.0,123.0
52.0,3.0,63.150002
52.0,4.0,66.220001
53.0,1.0,27.41
53.0,2.0,123.0
53.0,3.0,63.150002
53.0,4.0,66.220001
54.0,1.0,27.41
54.0,2.0,123.0
54.0,3.0,63.150002
54.0,4.0,66.220001
55.0,1.0,27.41
55.0,2.0,123.0
55.0,3.0,63.150002
55.0,4.0,66.220001
56.0,1.0,27.41
56.0,2.0,123.0
56.0,3.0,63.150002
56.0,4.0,66.220001
57.0,1.0,27.41
57.0,2.0,123.0
57.0,3.0,63.150002
57.0,4.0,66.220001
58.0,1.0,27.41
58.0,2.0,123.0
58.0,3.0,63.150002
58.0,4.0,66.220001
59.0,1.0,27.41
59.0,2.0,123.0
