Days since 1/3/23,Company,Value
0.0,1.0,37665200.0
0.0,2.0,2223376.0
0.0,3.0,70161300.0
0.0,4.0,69741300.0
1.0,1.0,37665200.0
1.0,2.0,2223376.0
1.0,3.0,70161300.0
1.0,4.0,69741300.0
2.0,1.0,37665200.0
2.0,2.0,2223376.0
2.0,3.0,70161300.0
2.0,4.0,69741300.0
3.0,1.0,37665200.0
3.0,2.0,2223376.0
3.0,3.0,70161300.0
3.0,4.0,69741300.0
4.0,1.0,37665200.0
4.0,2.0,2223376.0
4.0,3.0,70161300.0
4.0,4.0,69741300.0
5.0,1.0,37665200.0
5.0,2.0,2223376.0
5.0,3.0,70161300.0
5.0,4.0,69741300.0
6.0,1.0,37665200.0
6.0,2.0,2223376.0
6.0,3.0,70161300.0
6.0,4.0,69741300.0
7.0,1.0,37665200.0
7.0,2.0,2223376.0
7.0,3.0,70161300.0
7.0,4.0,69741300.0
8.0,1.0,37665200.0
8.0,2.0,2223376.0
8.0,3.0,70161300.0
8.0,4.0,69741300.0
9.0,1.0,37665200.0
9.0,2.0,2223376.0
9.0,3.0,70161300.0
9.0,4.0,69741300.0
10.0,1.0,37665200.0
10.0,2.0,2223376.0
10.0,3.0,70161300.0
10.0,4.0,69741300.0
11.0,1.0,37665200.0
11.0,2.0,2223376.0
11.0,3.0,70161300.0
11.0,4.0,69741300.0
12.0,1.0,37665200.0
12.0,2.0,2223376.0
12.0,3.0,70161300.0
12.0,4.0,69741300.0
13.0,1.0,37665200.0
13.0,2.0,2223376.0
13.0,3.0,70161300.0
13.0,4.0,69741300.0
14.0,1.0,37665200.0
14.0,2.0,2223376.0
14.0,3.0,70161300.0
14.0,4.0,69741300.0
15.0,1.0,37665200.0
15.0,2.0,2223376.0
15.0,3.0,70161300.0
15.0,4.0,69741300.0
16.0,1.0,37665200.0
16.0,2.0,2223376.0
16.0,3.0,70161300.0
16.0,4.0,69741300.0
17.0,1.0,37665200.0
17.0,2.0,2223376.0
17.0,3.0,70161300.0
17.0,4.0,69741300.0
18.0,1.0,37665200.0
18.0,2.0,2223376.0
18.0,3.0,70161300.0
18.0,4.0,69741300.0
19.0,1.0,37665200.0
19.0,2.0,2223376.0
19.0,3.0,70161300.0
19.0,4.0,69741300.0
20.0,1.0,37665200.0
20.0,2.0,2223376.0
20.0,3.0,70161300.0
20.0,4.0,69741300.0
21.0,1.0,37665200.0
21.0,2.0,2223376.0
21.0,3.0,70161300.0
21.0,4.0,69741300.0
22.0,1.0,37665200.0
22.0,2.0,2223376.0
22.0,3.0,70161300.0
22.0,4.0,69741300.0
23.0,1.0,37665200.0
23.0,2.0,2223376.0
23.0,3.0,70161300.0
23.0,4.0,69741300.0
24.0,1.0,37665200.0
24.0,2.0,2223376.0
24.0,3.0,70161300.0
24.0,4.0,69741300.0
25.0,1.0,37665200.0
25.0,2.0,2223376.0
25.0,3.0,70161300.0
25.0,4.0,69741300.0
26.0,1.0,37665200.0
26.0,2.0,2223376.0
26.0,3.0,70161300.0
26.0,4.0,69741300.0
27.0,1.0,37665200.0
27.0,2.0,2223376.0
27.0,3.0,70161300.0
27.0,4.0,69741300.0
28.0,1.0,37665200.0
28.0,2.0,2223376.0
28.0,3.0,70161300.0
28.0,4.0,69741300.0
29.0,1.0,37665200.0
29.0,2.0,2223376.0
29.0,3.0,70161300.0
29.0,4.0,69741300.0
30.0,1.0,37665200.0
30.0,2.0,2223376.0
30.0,3.0,70161300.0
30.0,4.0,69741300.0
31.0,1.0,37665200.0
31.0,2.0,2223376.0
31.0,3.0,70161300.0
31.0,4.0,69741300.0
32.0,1.0,37665200.0
32.0,2.0,2223376.0
32.0,3.0,70161300.0
32.0,4.0,69741300.0
33.0,1.0,37665200.0
33.0,2.0,2223376.0
33.0,3.0,70161300.0
33.0,4.0,69741300.0
34.0,1.0,37665200.0
34.0,2.0,2223376.0
34.0,3.0,70161300.0
34.0,4.0,69741300.0
35.0,1.0,37665200.0
35.0,2.0,2223376.0
35.0,3.0,70161300.0
35.0,4.0,69741300.0
36.0,1.0,37665200.0
36.0,2.0,2223376.0
36.0,3.0,70161300.0
36.0,4.0,69741300.0
37.0,1.0,37665200.0
37.0,2.0,2223376.0
37.0,3.0,70161300.0
37.0,4.0,69741300.0
38.0,1.0,37665200.0
38.0,2.0,2223376.0
38.0,3.0,70161300.0
38.0,4.0,69741300.0
39.0,1.0,37665200.0
39.0,2.0,2223376.0
39.0,3.0,70161300.0
39.0,4.0,69741300.0
40.0,1.0,37665200.0
40.0,2.0,2223376.0
40.0,3.0,70161300.0
40.0,4.0,69741300.0
41.0,1.0,37665200.0
41.0,2.0,2223376.0
41.0,3.0,70161300.0
41.0,4.0,69741300.0
